全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考,
170003,,JJ0000000011,石川県,民宿ふわ,ミンシュクフワ,minshukufuwa,,174637,,石川県鳳珠郡能登町宇出津ウ124,石川県,能登町,石川県鳳珠郡能登町宇出津ウ,124,,37.304946,137.150019,,,,チェックイン　16時00分～チェックアウト　10時00分			,,,"1泊2食7,700円～上記の料金は消費税など込みの金額です。（クレジットカード不可）",,　能登町名産「いしり」を使った「貝焼」など、郷土料理や季節折々の食材と共にに、能登の田舎ならではの温かい雰囲気でもてなしてくれます。,,"のと里山海道能登空港ICより30分			,",7台			,,,,,,,,,,,,,,,,,,,0768-62-0150,,,,,,,,,,
170003,,JJ0000000012,石川県,欧風民宿能登錦,オウフウミンシュクノトニシキ,ofuminshukunotonishiki,,173843,,石川県羽咋郡志賀町志賀町上野ロ-86,石川県,志賀町,石川県羽咋郡志賀町志賀町上野ロ-,86,,37.014904,136.744746,,,,,,,10室（6畳）,,上野漁港を見下ろす高台に建つ欧風の民宿です。朝夕の出船やイカ釣り船の漁り火など、日本海のさまざまな表情を窓の外に見ることができます。特に、夕日の眺めは最高です。いろりを囲む会食、海鮮炭火焼きも楽しめます。,,"のと里山海道西山ICより約10分JR羽咋駅より車で約25分,",20台,,,,,,,,,,,,,,,,,,,0767-32-4388,,,,,,,,,,
170003,,JJ0000000013,石川県,ペンション＆カフェ クルーズ,ペンションアンドカフェ クルーズ,penshonandokafue kuruzu,,173843,,石川県羽咋郡志賀町矢蔵谷子の4番地32,石川県,志賀町,石川県羽咋郡志賀町矢蔵谷子の,4番地32,,37.01839466,136.7704736,,,,チェックイン　　15時00分チェックアウト　10時00分,,,,,たくさんの手作りキルトやブリキのおもちゃ、数々のアンティーク。ヨーロッパの片田舎のようなこだわりのインテリアの中、和洋折衷クルーズ流おもてなし料理や貸切風呂でゆったり。日常を忘れておくつろぎ下さい。,,"のと里山海道西山ICから7分,",11台,,,,,,,,,,,,,,,,,,,0767-32-3896,,,,,,,,https://pension-cruise.com/,,
170003,,JJ0000000014,石川県,内灘町サイクリングターミナル,ウチナダマチサイクリングターミナル,uchinadamachisaikuringutaminaru,,173657,,石川県河北郡内灘町内灘町宮坂に1-3,石川県,内灘町,石川県河北郡内灘町内灘町宮坂に,1-3,,36.665634,136.652327,,,,チェックイン　15時00分～　チェックアウト　～10時00分			,,,"一般（高校生以上）　　  　　　　和室　4,150円～　　洋室シングル・ツイン　6,150円～　　中学生　　　　　　　　　　　　　　　和室　3,050円～　　洋室シングル・ツイン　5,150円～　小学生以下４歳以上　  　 　　和室　2,900円～　　洋室シングル・ツイン　5,000円～　　　　　　　（利用可能クレジットカード：有り）",,　能登半島の付け根に位置し、金沢市街にも近いため、加賀・能登観光のアクセス拠点として最適です。施設周辺は海岸などの自然に囲まれ、県内随一の眺望スポットとして人気。スポーツ施設も充実しており、リゾート型スポーツを楽しんだり、合宿するのにも便利です。ファミリーには小さい子供が喜ぶ大型遊具（海族船サンセット号）があり、また、手ぶらで来てすぐできる野外バーベキューもおすすめです(要予約）。,,"・北陸自動車道　金沢東ICから20分・JR金沢駅より25分,JR金沢駅から北鉄バス乗車医大病院下車、徒歩約20分(約1.5Km)北鉄金沢駅から浅野川線内灘駅下車後内灘駅より鶴ヶ丘住宅線にて内灘町総合公園下車徒歩約1分(約150m)",無料有り（内灘町総合公園内　100台以上）,,,,,,,,,,,,,,,,,,,076-286-3766,,,,,,,,http://www.nadasta.com,,
170003,,JJ0000000015,石川県,竹の浦館,タケノウラカン,takenorakan,,172065,,石川県加賀市大聖寺瀬越町イ19-1,石川県,加賀市,大聖寺瀬越町イ,19-1,,36.295948,136.264586,,,,9時00分～17時00分,,,無料利用可能クレジットカード　なし,,木造校舎を活かした体験交流施設で、2003（平成15）年にオープンしました。地域住民の交流の場で、さまざまな自然体験ができます。館内では、料理教室や工芸教室が開催され「多目的ホール」はコンサート会場やギャラリーとして使用できます。ホールでは展示販売も可能です。「食」に関する活動として、昔ながらの発酵食品に目を向け、自家製の「へしこ」やたくわん、味噌などの体験教室を行なっており、販売もしています。最近は特に「酢」に力を入れており、筍酢、梨酢、濃～いいちご酢、なども製造販売しています。またキャンプ場も併設しています。,,"北陸自動車道加賀ICから車で約7分JR大聖寺駅から車で約10分JR加賀温泉駅から車で約15分,JR加賀温泉駅から加賀周遊バス　キャンバス加賀越前線　→　36 竹の浦館バス停からすぐJR加賀温泉駅から普通列車で4分（福井方面へ1駅）　→　JR大聖寺駅から約5.3m",乗用車約30台,,,,,,,,,,,,,,,,,,,0761-73-8812,,,,,,,,https://takenourakan.storeinfo.jp/,,
170003,,JJ0000000016,石川県,道の駅　狼煙,ミチノエキ　ノロシ,michinoeki　noroshi,,172057,,石川県珠洲市狼煙町テ部11,石川県,珠洲市,狼煙町テ部,11,,37.52596051,137.3243649,,,,8時30分～17時00分（季節によって変更になる場合があります）,,,入場無料クレジットカード可（VISA、Master、PayPay、LINEPay）,,　能登半島さいはてに位置する狼煙には、観光スポットとなる禄剛埼(ろっこうさき)灯台があります。岬からは、「海から昇る朝日と、海に沈む夕日」を同じ場所で眺めることができます。 　道の駅狼煙では、復活した幻の大浜大豆と珠洲産天然にがりを使用した凝固剤一切不使用の地豆腐を始め、里山里海の食材や手作り工芸品なども販売しております。,,"金沢方面からのと里山海道のと里山空港IC、珠洲道路経由約2時間40分のと里山空港から珠洲道路経由　約55分輪島方面から国道249号経由　約50分,",大型７台、普通車７１台（身障者用４台）、バイク専用８台,,,,,,,,,,,,,,,,,,,0768-86-2525,,,,,,,,https://noroshi.info,,
170003,,JJ0000000017,石川県,道の駅　すず塩田村,ミチノエキ　スズエンデンムラ,michinoeki　suzuendemmura,,172057,,石川県珠洲市清水町1-58-1,石川県,珠洲市,清水町,1-58-1,,37.486335,137.113786,,,,3月～11月：9時00分～17時00分12月～2月：9時00分～16時00分,,,"【資料館入館料】　大人100円,小人(中学生以下)50円",,能登地方に400年以上前から伝わる「揚げ浜式」による製塩を行いながら、その伝統を伝えるために造られた塩の総合資料館です。美しい景色を眺めながらの休憩やご当地土産の購入、揚げ浜式製塩の体験(要予約)など、さまざまな用途で利用できます。,,"珠洲市より国道249号経由　約30分輪島市より国道249号経由　約30分,",普通車30台・大型車6台・身障者用3台（無料）			,,,,,,,,,,,,,,,,,,観光バスが来ている時間と重なると電話に出れないことがあります,0768-87-2040,,,,,,,,http://enden.jp,,
170003,,JJ0000000018,石川県,道の駅　すずなり,ミチノエキ　スズナリ,michinoeki　suzunari,,172057,,石川県珠洲市野々江町シ-15,石川県,珠洲市,野々江町シ-,15,,37.44145125,137.2700942,,,,8時30分～18時00分,,,（クレジットカード不可）,,　平成22年4月、食べ物と人の交流拠点として、のと鉄道の旧珠洲駅にリニューアルオープンしました。地元珠洲の情報が満載です。店内には珠洲のこだわり商品がたくさん並んでいます。揚げ浜塩を使ったソフトクリームや、季節ごとに変わるご当地ソフトなど、ここでしか味わえないアイスにも大注目。　地元の採れたて新鮮野菜をはじめ、珠洲焼、珪藻土コンロ、いも菓子などの菓子類、珠洲の塩など、珠洲産にこだわり抜いた商品を扱っています。,,"のと里山海道・珠洲道路経由約2時間30分国道249号経由約50分,",大型車3台　普通車39台　障害者用2台（無料）,,,,,,,,,,,,,,,,,,,0768-82-4688,,,,,,,,http://www.notohantou.jp/,,
170003,,JJ0000000019,石川県,道の駅 千枚田ポケットパーク,ミチノエキ　センマイダポケットパーク,michinoeki　semmaidapokettopaku,,172049,,石川県輪島市白米町ハ部99-5,石川県,輪島市,白米町ハ部,99-5,,37.424179,136.997614,,,,8:30～17:30（あぜのきらめき期間中8:30～20:00）※3月15日(火)からはあぜのきらめき終了に伴い、8:30～17:30になります。※新型コロナウイルスの感染拡大状況により営業時間が変更となる場合もあります。,,,,,能登を代表する絶景ポイントです。景勝地「白米千枚田」が一望できます。能登半島周遊の立ち寄りスポットとして人気です。田植えや稲刈り、あぜのきらめきなどのイベントがあります。2022年3月15日(火)からはあぜのきらめき終了に伴い、営業時間は通常の8:30～17:30となっております。,,"・金沢からのと里山海道経由で約2時間20分（「のと里山空港IC」下車）・のと里山空港ICから約35分,・金沢駅から輪島特急バス乗車約2時間30分「輪島駅前」下車(乗り換え)→輪島駅前から路線バス町野線「白米千枚田」下車",自家用車51台、バス5台,,,,,,,,,,,,,,,,,,株式会社　千枚田,0768-34-1004,,,,,,,,http://senmaida.wajima-kankou.jp/,,
170003,,JJ0000000020,石川県,道の駅輪島（ふらっと訪夢）,ミチノエキワジマ（フラットホーム）,michinoekiwajima（furattohomu）,,172049,,石川県輪島市河井町20-1-131,石川県,輪島市,河井町,20-1-131,,37.389371,136.906015,,,,8:30～18:00（わじま観光案内センター）,,,		,,輪島に着いたら、まずここへ。旧輪島駅の跡地にある「道の駅 輪島」、愛称「ふらっと訪夢（ほーむ）」です。営業時間は、8:30～18:00（年中無休）です。令和4年4月2日(土)から8:30～17:00に営業時間が変更となります。,,"・金沢からのと里山海道経由約2時間(「のと里山空港IC」下車)・のと里山空港ICから約20分,・金沢駅から輪島特急バス乗車約2時間30分「輪島駅前」下車",普通車12台、大型8台、身障者用2台			,,,,,,,,,,,,,,,,,,,0768-22-1503,,,,,,,,https://wajimanavi.jp,,
170003,,JJ0000000021,石川県,道の駅　桜峠  　,ミチノエキ　サクラトウゲ,michinoeki　sakuratoge,,174637,,石川県鳳珠郡能登町字当目2-24-24,石川県,能登町,石川県鳳珠郡能登町字当目,2-24-24,,37.331949,137.013073,,,,9時00分～17時00分1～3月　10時00分～16時00分,,,クレジットカード不可,,ここで一息、ティーブレイク。ファンに愛されるアットホームな道の駅です。店内には「能登人」の優しさがたっぷり詰まったの特産品が数多くあります。能登町の思い出にお土産を買うことができます。ブルーベリーソフトと揚げたてカレーパンはお店のイチオシです。また能登の観光パンフレットも置いてありますので、情報収集にも活用してください。休憩に、買い物に、食事に、ぜひ道の駅・桜峠へ。,,"のと里山海道のと里山空港ICから珠洲道路を珠洲市方面に15分能登空港から車で10分,",大型車 3台普通車　 29台身障者用 1台,,,,,,,,,,,,,,,,,,,0768-76-1518,,,,,,,,https://www.michi-no-eki.jp/stations/view/469,,
170003,,JJ0000000022,石川県,道の駅　のと里山空港,ミチノエキ　ノトサトヤマクウコウ,michinoeki　notosatoyamakuko,,172049,,石川県輪島市三井町洲衛10-11-1,石川県,輪島市,三井町洲衛,10-11-1,,37.295072,136.957185,,,,(ビル) 8:30～17:30(能登の旅 情報センター) 9:00～17:00(レストランあんのん) 9:00～16:00,,,,,能登空港の施設全部が道の駅！　4階建ての空港ターミナルには、各種行政機関も入っていて、空だけでなく、道の駅としても活用されている。1階の観光インフォメーションや1、2階の売店、3階のレストランなどとても便利です。,,"能越自動車道のと里山空港ICから珠洲方面へ約5分輪島市から約25分珠洲市から約55分七尾市(和倉温泉)から約50分,",,,,,,,,,,,,,,,,,,,,0768-26-2555,,,,,,,,http://www.hot-ishikawa.jp/notonavi/,,
170003,,JJ0000000023,石川県,道の駅　赤神,ミチノエキ　アカカミ,michinoeki　akakami,,172049,,石川県輪島市門前町赤神壱-110,石川県,輪島市,門前町赤神壱-,110,,37.248314,136.709475,,,,9:00～17:00（冬季、時間変更有り）,,,,,禅の里・門前で「じんのびぃ」っとしまっし。日本海の水平線に沈む、あかね色の夕日はまさに絶景です。近くには、大本山總持寺祖院や泣き砂の浜もあります。手作りみそをはじめ地元特産品がずらりと並び、猿山岬灯台のランプが展示されているのは必見です。,,"・金沢からのと里山海道乗車約1時間40分（西山IC下車）・西山ICから約45分,・金沢駅から輪島特急バス乗車約2時間30分「輪島駅前」下車(乗り換え)→「輪島駅前」から路線バス(輪島線)「門前総持寺前」下車(乗り換え)→「門前総持寺前」から愛のりバス(久川コース)で「赤神」下車※本数が少ないためご注意ください",37台（大型車6台、普通車31台）,,,,,,,,,,,,,,,,,,,0768-45-1001,,,,,,,,https://wajimanavi.jp/,,
170003,,JJ0000000024,石川県,道の駅　とぎ海街道,ミチノエキ トギウミカイドウ,michinoeki togiumikaido,,173843,,石川県羽咋郡志賀町富来領家町タ-2-11,石川県,志賀町,石川県羽咋郡志賀町富来領家町タ-,2-11,,37.140164,136.724877,,,,9時00分～17時00分,,,,,浜辺に光るサクラ貝や、日本海の造形美が魅力です。店内には、貝細工や能登牛などの品が並びます。地元の特産品「活き甘エビ」の持ち帰りができるなど、海産物も扱っています。近くには、ギネス記録に認定されたこともある「世界一長いベンチ」をはじめ、サクラ貝を拾える増穂浦海岸(ますほがうらかいがん)、能登金剛、巌門などがあります。,,"のと里山海道西山ICから国道249号を北へ約25キロ金沢から約1時間15分,JR七尾線「羽咋駅」から「富来行」の路線バス「富来」バス停で下車し、徒歩約10分",普通車75台大型車3台身障者用1台,,,,,,,,,,,,,,,,,,,0767-42-0975,,,,,,,,http://togi-michinoeki.com/,,
170003,,JJ0000000025,石川県,道の駅　のとじま,ミチノエキ　ノトジマ,michinoeki　notojima,,172022,,石川県七尾市能登島向田町122-14,石川県,七尾市,能登島向田町,122-14,,37.137359,136.998241,,,,（情報コーナー） 9時00分～17時00分※営業時間の変更等がある場合がありますので、<a href=https://notojima-michinoeki.com/>公式ＨＰ</a>をご確認ください。,,,"利用可能クレジットカード:VISA,MasterCard",,能登観光の休憩スポットに選ぶなら、ここが一番おすすめです。地元の山海の幸を味わえる食事コーナーや、能登島の土産が揃った土産コーナー、新設された浜焼コーナーが特に魅力的です。,,"のと里山海道徳田大津JCT経由、和倉ICから約10キロ、約20分,JR七尾線和倉温泉駅下車、能登島交通（バス）で30分",大型車10台、普通車272台			,,,,,,,,,,,,,,,,,,,0767-84-0225,,,,,,,,http://notojima-michinoeki.com/,,
170003,,JJ0000000026,石川県,道の駅　なかじまロマン峠,ミチノエキ　ナカジマロマントウゲ,michinoeki　nakajimaromantoge,,172022,,石川県七尾市中島町中島ニ部1-19,石川県,七尾市,中島町中島ニ部,1-19,,37.130528,136.863199,,,,「Yahataすしべん中島店」と兼用店舗となります。すしべん中島店営業時間　7:00～20:00,,,メニューやお土産物によって異なります,,　国道249号沿いにある道の駅は、国指定無形民俗文化財「お熊甲祭り（おくまかぶと）」の深紅の枠旗（わくばた）をかたどった照明灯が目印で、レストランや特産品販売所、休憩所が一体となった建物があります。,,"のと里山海道横田IC下車、輪島方面へ5キロ 車で約7分JR七尾駅から国道249号を穴水方面へ約18キロ、車で約30分,",普通車14台、大型車12台、身障者用1台			,,,,,,,,,,,,,,,,,,2019年7月4日リニューアルオープンに伴い、TEL/FAXが変更しております。（旧0767-66-2151）,0767-66-0155,,,,,,,,,,
170003,,JJ0000000027,石川県,道の駅　能登食祭市場,ミチノエキ　ノトショクサイイチバ,michinoeki　notoshokusaiichiba,,172022,,石川県七尾市府中町員外13-1　県道132号線七尾港線沿い,石川県,七尾市,府中町員外,13-1　県道132号線七尾港線沿い,,37.049024,136.968912,,,,8時30分～18時00分（グルメ館は店舗により異なる）※新型コロナウイルス感染症のため、令和3年1月21日～当面の間営業時間に変更あり。　詳細はこちらの「<a href=http://www.shokusai.co.jp/event/2021/01/113.html>公式ホームページのお知らせ</a>」でご確認ください。,,,入場無料,,能登食祭市場では「いい品・いい味・いい接遇」をモットーに、厳選した能登の味を多数取り揃えております。1階には能登の新鮮な魚介類を取り扱う「能登生鮮市場」、能登各地の里山里海の伝統的な味を体感できる「里山里海小路」、こだわりの能登の名産品・伝統工芸品を取り揃えた里山里海百貨店「里乃蔵」、大人気の「浜焼きコーナー」があります。2階は能登の旬の味覚を存分に楽しめる「能登グルメ館」があり、ごゆっくりとお楽しみいただけます。　　　　　　　　　　　　　また、「道の駅」「みなとオアシス」にも認定されております。「能登食祭市場」で能登を楽しみ・味わってください！,,"JR七尾駅より徒歩10分金沢方面　のと里山海道・高田ICから 約15分富山方面　能越自動車道・七尾城山ICから 約12分,",普通車250台 大型バス15台,,,,,,,,,,,,,,,,,,,0767-52-7071,,,,,,,,http://www.shokusai.co.jp/,,
170003,,JJ0000000028,石川県,道の駅　いおり,ミチノエキ　イオリ,michinoeki　iori,,172022,,石川県七尾市庵町笹ヶ谷内3-1,石川県,七尾市,庵町笹ヶ谷内,3-1,,37.028706,137.04653,,,,灘わくわく市場　10時00分～16時00分			,,,土産などにより異なります			（クレジットカード不可）,,　能登立山シーサイドライン沿いに建つ「道の駅」からは、灘浦海岸を一望することができます。　,,"能越自動車道七尾大泊ICから国道160号を七尾方面へ約5分のと鉄道七尾線七尾駅から車で約20分,",普通車52台、大型車5台			,,,,,,,,,,,,,,,,,,,0767-59-1415,,,,,,,,,,
170003,,JJ0000000029,石川県,道の駅　ころ柿の里しか,ミチノエキ コロガキノサトシカ,michinoeki korogakinosatoshika,,173843,,石川県羽咋郡志賀町末吉新保向22番地1,石川県,志賀町,石川県羽咋郡志賀町末吉新保向,22番地1,,37.00743465,136.7795652,,,,【旬菜館】　　平　日　9時00分～17時30分　土日祝　9時00分～18時30分【アクアパーク　シオン】　　温　　　泉　  9時00分～23時00分　プ　ー　ル　  9時00分～22時00分　レストラン　11時00分～21時00分,,,【温　泉】　大人（12歳以上）500円、小人250円、3歳未満無料、障がい者（大人）350円、障がい者（小人）無料【プール】　大人（12歳以上）550円、小人300円、3歳未満無料、障がい者（大人）380円、障がい者（小人）無料【温泉＆プール】　大人（12歳以上）800円、小人400円、3歳未満無料、障がい者（大人）560円、障がい者（小人）無料,,温泉施設「アクアパーク シ・オン」や、町の特産品や近隣農家直送の農産物を販売する「みちのえき 旬菜館」などがあります。千古温泉「しらさぎの湯」に漬かって、「ほっ」と一息つきませんか。,,"のと里山海道西山ICから約3分羽咋市より国道249号を北に約20分,JR七尾線「羽咋駅」から「富来行」の路線バス「高浜」下車し、徒歩約10分",ありRVパーク5台,,,,,,,,,,,,,,,,,,直売所「旬菜館」,0767-32-4831,,,,,,,,http://syunsaikan-shika.jp/,,
