直売所の名称,郵便番号,住所1,営業期間,営業時間,TEL,FAX,定休日,駐車場台数,トイレ,直売所の紹介
中ノ峠物産販売所,923-0078,小松市中ノ峠町ヌ103乙,通年,10:00～16:00,(0761)47-5263,(0761)47-5263,当分の間、火・水曜休,20,○,囲炉裏で焼いた岩魚が大人気です。朝とれ野菜は、新鮮そのものです。近くへお越しの際は、ぜひお寄り下さい。土、日、祭日、数量限定で季節により押し寿し、弁当があります。弁当は２，３日前までに連絡下さい。“とにかくうまい！”
里山健康学校　せせらぎの郷（こまつ里山の駅）,923-0183,小松市瀬領町丁1-1,通年,10:00～21:30,(0761)46-1919,(0761)46-1818,"月曜日
※祝日の場合は翌日",70,○,朝とれたての新鮮な安心・安全な野菜・特産物の販売。また、ビュッフェレストラン（ビュッフェこまつせせらぎ）の食材としても使用しています。
JAあぐり,923-0983,小松市日末町い59-1,通年,8:30～18:30,(0761)43-0351 ,(0761)43-1400,火曜（1～2月）・3～12月は無休,110,○,地域の農産物や加工品の販売、米の直売などを行い、「安心」「安全」「新鮮」を基本コンセプトに地域性（こだわり）を付加して消費者に提供し、地産地消の地域定着型の農業生産の推進を行っている。
こまつ食彩工房朝市,923-0824,小松市西軽海町2-204-11,第3土曜日（小松市公報に掲載）,8:30～10:00,(0761)44-1436  ,(0761)23-6402,―,20,○,「こまつ食彩工房」の施設は、食と農を考える女性の会が女性起業グループとして結成。地元農産物を活用し、地域特産のみそ、梅干、しそ粉、大根寿し、柿の葉寿しなど郷土料理を主として、商品化し、直売所で販売や講習会で伝承活動している。
きのこの里,923-0071,小松市中海町10-82,通年,8:30～17:30,(0761)47-4140,(0761)47-4068,年始（1月1～5日）,4,○,田んぼの中にある直売店きのこの里。その田んぼで収穫したもち米を昔ながらの手づくりでもちやかきもちにして販売しています。また、地元のお母さん方のつくる新鮮でおいしい野菜も大人気。変わり種ソフトクリームも大人気。
道の駅こまつ木場潟・旬菜市場「じのもんや」,923-0843,小松市蓮代寺町ケ2番地2,通年,8:30～18:00,(0761)25-1188,(0761)22-0125,"1～2月／水曜日、
1月1～3日",103,○,種類豊富な新鮮小松の農産物を始め伝統の和菓子　小松うどんや地元女性グループの手作り加工品やJA小松市オリジナルのトマトカレー、竹の子御飯の素などのレトルトパックなど食を最大限にアピールします。
わくわくファーム川北　産直物産館,923-1267,能美郡川北町字壱ツ屋183-3,通年,9:00～18:00,(076)277-8989,(076)277-8990,火曜日、年末年始,50,○,"お客様の食卓に低価格で、安心して頂ける食材をお届けしたく努力しています。
地元特産品のいちじくを使ったジャム、いちじく太鼓（どら焼き）等を販売いたしております。また手作りのお漬物や近隣の特産物を揃えてご来店をお待ちいたしております。"
美川のあさ市,929-0224,"白山市美川中町ロ221番地1　
美川コミュニティプラザふれ愛（ＪＲ美川駅）",4月～10月／第1日曜日（10月のみ第2日曜日）,8:00～9:30,"(076)259-5893
(白山市観光連盟)",(076)259-6893,―,55,○,美川の特産品であるふぐの糠漬・粕漬や和菓子、新鮮な野菜、その他美川のおいしいものが一堂に並び販売され、毎回たくさんのお客様で賑わっています。
むっつぼし松任本店,924-0812,白山市橋爪町104,通年,9:00～17:00,(076)276-6287,(076)276-5424,水曜日,30,○,白山麓に広がる田畑で私たちが自ら育てた米、野菜の直売はもちろん、おむすび、お餅、漬け物、和菓子、お弁当など自らの手で美味しく加工し直売しています。
ＪＡ白山よらんかいねぇ広場,920-2154,白山市井口町に58-1,通年,9:00～19:00(現在時短営業中9:15～18:30),(076)273-3002,(076)273-1977,なし、年始1日～4日,100,○,生産者が毎日朝収穫した旬の新鮮野菜果物を持ち込み、近隣、金沢市のみなさんに安く安心して買ってもらえるお店です。
食彩館せせらぎ,920-2368,白山市出合町甲36番地,通年,"（4月～11月中旬）9:00～16:00
（11月中旬～3月）10:00～16:00",(076)254-2888,(076)254-2889,"GW～11月中旬／第1・3月曜日
11月中旬～GW／月曜日、年末年始",50,○,"白山麓の澄んだ空気と清流で育った採れたて野菜たち
山里の恵み、田舎暮らしの知恵が詰まった贅沢を味わって下さい。"
にわか工房,920-2345,白山市三ツ屋野ト3-7,通年, 10:00?17:00,(076)255-5930,(076)255-5931,不定休、年末年始（12/28～1/4）,30,○,朝夕の寒暖の厳しい気候条件の下に、採れた地元の作物（野菜。そば、米、金時草等）を使って加工、販売を、地区の住民で運営しています。
河内地場産業センター,920-2303,白山市河内町福岡124,通年,9:00～17:00,(076)273-1190,(076)273-1082,水曜日,30,○,お食事処ふじは地元の野菜、当店で製造した豆腐、そばを中心にしたメニューで中でも日替定食は手作り、冷凍食品を一切使用していません。
きときと　朝市,929-0235,白山市美川永代町地内（美川漁港）,4月中旬～10月,5:30～6:30（売り切れまで）,―,(076)207-7500,,20,"○
(漁港内)",―
JAｸﾞﾘｰﾝ松任　まいどさん市場,924-0865,白山市倉光4丁目40,通年,8:30～18:30（1～3月は18:00まで）,(076)274-2233,(076)274-1498,"火曜日
※4～12月は無休",80,○,新鮮・安全・安心、生産者の顔が見える地元農産物・加工品の直売所と鉢花・種苗肥料・農薬などの農業用品の専門店として地域の食と農の旬を提案しています。
工芸の里　山法師,920-2321,白山市吉野春29（吉野工芸の里）,4～11月,9:00～15:00(商品がなくなるまで）,"(076)255-5592
(代表自宅)",(076)255-5592,火曜日,10,○,吉野工芸の里のシンボル・御仏供杉を正面に見る、カブヤキ屋根のひなびた売り場です。開設来30年歳月を重ね顧客とは2代目、3代目のお付き合いです。有機栽培の導入など、顧客満足度の向上に努めています。
白峰特産品販売施設　菜さい,920-2501,白山市白峰ロ64-3,通年,10:00～17:00（ラストオーダー　16:30）,(076)259-2588,(076)259-2588,火曜日（祝日の場合は翌日）、年末年始,20,○,春は山菜。雪解け、青くなりゆく山ぎわ。菜さいでは、おいしい山の幸、地元の新鮮な野菜、特産品などをご用意しております。ぜひお立ち寄りくださいませ！
いっぷく処　おはぎ屋,920-2115,白山市白山町レ122番地1,通年,9:00～16:00,(076)272-5510,(076)272-5178,"水曜日(1月～2月)
3月以降は理事会で決定",50,○,"石川県唯一のパワースポット白山比咩神社表参道大鳥居前にあるいっぷく処。
地元土産品他、十割そば、笹寿司など飲食もできます。"
白山観光物産センター（道の駅　瀬女）,920-2331,白山市瀬戸寅163-1,通年,9:00～17:30（12～3月は17:00まで）,(076)256-7172,(076)256-7173,11月下旬～3月中旬／水曜日、年末年始,26,○,"地元でとれた農産物の他に名物とちもちや堅豆腐など特産品もたくさん揃っています。
パン工房「山のパン屋さん瀬女」を併設．焼きたてパンが買えます。"
株式会社　牛乳村夢番地,924-0833,白山市向島町760-1,通年,10:00～18:00,(076)274-3698,(076)274-3699,火曜日,9,○,指定酪農家の生乳のみを使う低温殺菌牛乳「おまっと牛乳」の販売・宅配。その牛乳を使ったジェラート・ソフトクリーム等の地産地消
道の駅　めぐみ白山　JA直売所,924-0033,白山市宮丸町2183番地,通年,9:00～19:00（11～3月は18:00まで）,(076)227-9277,(076)227-9278,1月～2月／火曜日,224,○,地元の生産者が丹精込めた、安全・安心・採れたての野菜や果物、味噌・醤油などの発酵食品、地酒にお菓子。工芸品・民芸品など、市内全域から地場産品を集結。
プララ直売会（プ・ラ・ラＡＣＯＯＰ富奥）,921-8823,野々市市粟田1-266,通年,9:30～21:00 （土曜日は9:00～）,(076)246-1178,(076)246-1152,年始,80,○,地元の「野々市市」の採りたて野菜はもちろん、白山市や金沢市近隣農家の皆さんからの出品もあり、年間通じて豊富な品揃えです。特に花は、毎日売り切れる程の人気です。
医王Y・Y食品,920-1102,金沢市二俣町い39,通年,8:00～18:00,(076)236-1516,(076)236-1526,不定休,3,○,伝統の蓮如だんごをはじめ、地元で採れた旬の食材や加賀野菜の金時草を添加物を一切入れずに心を込めて美味しくつくった加工食品の専門直売店です。
ゆわく朝市組合,920-1122,金沢市湯涌荒屋47　金沢湯涌みどりの里,"4月下旬～12月上旬の日曜
出張朝市も可","日曜：6:30～8:00
品物なくなり次第終了",(076)235-8033,(076)235-8032,旧盆,45,○,"湯涌でとれた野菜、みどりの里でつきたてのお餅、そして加工品等が自慢です。帰りに温泉もどうぞ。
また出張販売もいたします。"
みちづれ,920-1102,金沢市二俣町佐5-1,通年／金・土・日,8:30～12:00,(076)236-1062,(076)236-1062,―,15,○,"地元産新鮮野菜、季節の山菜など品沢山、また、きれいな空気、水で育った米を使った草もち、草だんごなど、当地ならではの加工品は絶品です。
じいちゃん、ばあちゃんが作った野菜、花、もち、漬けものぜひ食べてください。"
ほがらか村本店,920-0011,金沢市松寺町未59番地1,通年,8:30～18:00（冬季期間変更あり）,(076)237-0641,(076)237-0675,不定休、年末年始,80,○,金沢産農産物の産直・共同販売品目のアンテナショップ。店頭精米をはじめ、旬情報発信の拠点直売所。JA金沢市ほがらか村産直会会員が丹精を込めて栽培した、安心・安全な加賀野菜・新鮮野菜や果物等を多数取り揃えて販売中！
ほがらか村崎浦店,920-0942,金沢市小立野3-28-12,通年,8:30～18:00（冬季期間変更あり）,(076)262-6590,(076)262-0300,年末年始,40,○,季節ごとの美味しい地元野菜・果物と、金沢そだち・加賀野菜のブランド品の提供で地産地消を中心に多くの方にご賞味いただきたい。
ＪＡ金沢市ほがらか村野田店,921-8104,金沢市野田町ム94番地1,通年,8:30～18:00（冬季期間変更あり）,(076)245-4602,(076)245-4611,年末年始,80,○,地元で収穫された新鮮野菜、果物が毎日入荷しております。産直農家が栽培した四季の旬の農作物をご賞味下さい。
金沢港いきいき魚市,920-0332,金沢市無量寺町ヲ52,通年,9:00～16:00,(076)266-1353,(076)266-1352,水曜日、年始,100,○,"金沢港内にある魚市場。
金沢港をはじめ近港で水揚げされた新鮮な地物の魚を漁業関係者が直接販売しているので手頃な価格で手に入る。"
ＪＡグリーン金沢,920-0356,金沢市専光寺町ロ114-3,通年,9:00～18:30,(076)268-8714,(076)267-6010,年始臨時休業,100,○,地元の野菜はもちろん、能登・加賀など県下広域から集めた農産物・加工品が沢山あるお店です。「旬」を大事にした野菜の販売の他、おいしい食べ方などの提案も積極的に取り組んでいます。
３０４水芭蕉会,920-0131,"金沢市東原町の旧３０４国道添い
東原駐車場マチオモイ向い",6月中旬～12月中旬／日曜日,7:30～11:30,(076)257-6023,(076)257-6023,―,15,○,"国道３０４号の富山県境にある小さな山里集落。地域でとれた新鮮な野菜や加工品をより安い価格で提供。
季節の人気商品は売り切れ続出となり早い者勝ちです。一度来たらやめられない直売所です。"
ごんでん朝市,920-0143,金沢市北方町　直江谷会館,5月末～11月末／日曜日,8:00～10:00,(076)257-5107,(076)257-5107,―,30,○,地元で朝どりの新鮮な野菜や、果物、山菜などを販売しています。値段が安いのが自慢です。特にお花は種類が豊富で仏花や玄関花など毎回とても人気があります。また、ワンコイン喫茶での美味しいコーヒーやその場で食べられるおはぎ、お餅、かきもち、手作りケーキなども好評を得ています。
とのさま街道直売所,920-1101,金沢市砂子坂24字7番,通年,10:00～16:00,(0763)58-1377 ,(0763)58-1377,水曜日,30,○,とのさまが通られた街道であり、山中ではあるが自然に囲まれた素朴な環境の中で育った山菜、果実、野菜等、数多くの商品が皆様の御来場をお待ちしております。
むつぼしマーケット,921-8114,金沢市長坂2丁目24-3,通年,10:00～19:00,(076)272-8181,(076)272-8188,日曜日,20,○,住宅街という立地を生かしたレストラン併設のちょっとオシャレなお店。六星のお米や野菜を使ったランチや量り売りのお惣菜などが人気です。食にまつわるイベントを開催する等お客さんへの情報発信や交流も盛んです。
夢ミルク館,920-0263,河北郡内灘町字湖西243,通年（2月土日営業、木曜日定休、7・8月無休）,"10:00～17:00
（11月）10:00～16:00
（7～8月の土日祝）10:00～18:00
（2月：土日祝のみ営業）10:00～16:00",(076)255-1369,(076)255-1369,"木曜日
7・8月 無休
12月・1月 休業
2月は土日祝のみ営業
※詳しくはHPで案内",150,○,大空と大地の中で、育まれた無垢なミルク。その新鮮なミルクから作られた乳製品とミルクいっぱいのスイーツを爽やかな風に吹かれて動物たちと一緒にお楽しみください。
内灘ｻﾝｾｯﾄ産直ふれあい市場,920-0265,河北郡内灘町字大学1丁目4-1,通年,10:00～19:00（11月～3月　10:00～18:00）,(076)254-6133,(076)254-6135,年末年始（12/30～1/3）のみ休業,45,○,サンセットブリッジを一望できる野外テラスで飲食ができる。ハチミツ販売コーナーもあり、自家製イチゴソフトを販売しています。
河合谷の郷即売所,929-0309,河北郡津幡町字上大田和1,通年,"4月～12月　平日・日曜 9:00～15:00
（1～3月は10:00～13:00）",(076)287-1300,"(076)287-1550
(ふれあいｾﾝﾀｰ)",水曜日,15,○,"河合谷産だからおいしい野菜です。河合谷産でしか味わえないおもちです。
みんなの優しさがぎっしりつまった味、地元産にとことんこだわり、できるだけの笑顔でお届けしたいと頑張っています。今は、田舎弁当（500円～）が人気です。"
倶利伽羅塾,929-0426,河北郡津幡町字竹橋西270番地,通年,8:30～21:00,(076)288-8668,(076)288-8669,年中無休,23,○,歴史国道「北陸道」の石川県側の入り口に設備された農業交流施設で、山の幸、農産物等の特産品の直売所の他、レストランでの食事、宿泊、入浴も可能。
生産者直売所｢そくさいかん」,929-0328,河北郡津幡町舟橋253,通年,(3～5月）8:00～19:00、（6～2月)9:00～19:00,―,―,無（年末年始・棚卸等の臨時休業有）,50,○,平成２４年７月７日にリニューアルしました。直場所の売場面積も大きくなり、新鮮野菜・果物がいっぱいです。
"ふるさと五穀園
（旧：藤瀬霊水公園直売所）",929-2227,七尾市中島町字藤瀬19-38,季節,6:00～20:00,(0767)66-2500,(0767)66-2501,年中無休,9,○,"中山間地の農家のお年寄りが小さな畑で手塩にかけて育てた野菜が季節に応じて出店しています。
　形が悪くても美味しく心温まる農産物がたくさんあります。"
松島キャンプ場直売所,926-0205,七尾市能登島野崎町87-44-3(体験農園施設）,7月、8月,9:00～16:30,"(0767)84-8077
(9:00~17:00)",―,年中無休,40,○,富山湾が一望できる能登島の中でも昔ながらの自然が残る場所で、キャンプはもとより海水浴やバーベキューが楽しめます。夏限定の直売所ですが、地元の野菜を販売しています。
道の駅　のとじま　交流市場,926-0211,七尾市能登島向田町122部14番地,通年,9:00～17:00,(0767)84-0225,(0767)84-0226,12～3月／木曜日,280,○,「道の駅のとじま」は、能登島の風光明媚な丘の上にあり、ガラス美術館・能登島ガラス工房・交流市場の3施設があります。平成25年度に新設した「浜焼きコーナー」があります。その場で海の幸、山の幸を堪能できます。直売コーナーでは1年を通じて安く安心な野菜や加工品を販売しています。
わくら朝市（和倉総湯前）,926-0175,"七尾市和倉町ワ部5-1
和倉温泉総湯前",通年／日,7:00～ 13:00,(0767)53-0834,(0767)52-5346,年始3ヶ日に係る日曜日,100,○,七尾市和倉温泉の中心部にある和倉総湯前で毎週日曜日、祭日に開催しております。山の幸から海の幸、その加工品・季節折々の新鮮な品々等地元の方から観光客に喜ばれており、リピータも沢山おいでます。また、総湯の開館時間と同じであることから、総湯の利用者・観光客にすぐ食べられる物も喜ばれております。
JAグリーン　わかばの里,926-0015,七尾市矢田新町イ部6番地７,通年,8:30～18:30,(0767)54-0202,(0767)54-0212,"年末年始
（12月31日～1月6日）",30,○,生産者と消費者との架け橋として、新鮮・安心をモットーに地元で採れた旬の野菜や果物、手作りの加工品（漬物・お餅等）をご提供します。「新鮮だから美味しい、生産者の顔が見える安心感」をぜひ実感して下さい。
"食祭市場朝市
（旧：ふぞろい野菜市）",926-0041,七尾市府中町員外13-1,通年／土・日・祝日,8:30～15:00,(0767)52-7071,(0767)52-7072,―,200,○,食祭市場は能登の文化風土に親しむ交流拠点として生鮮市場・里山里海百貨店・里乃蔵・グルメ館で構成されたフィッシャーマンズ・ワーフです。朝市は、毎週土曜日、日曜日、祝日に食祭市場前のテント内で開催しています。
魚工房　旬,926-0001,七尾市鵜浦町9部70番地（鵜浦漁港内・バス停前）,通年,9:00～13:00,(0767)58-7480,(0767)58-1350,"日曜日、不定休
（天候などによる）",10,○,朝どれの魚をその日のうちに加工、真空パックで冷凍
スギヨファーム直売店,926-0041,七尾市府中町員外27-1,通年,10:00～17:00（通年）,(0767)54-0007,(0767)54-0007,不定休,4,○,能登の生鮮野菜、果物とこれを用いたソフトクリームやジェラート、スムージーさらに加工品（ドレッシングやジャム、ジュース、ゼリー、サイダーなど）を販売しているスギヨファーム直営店です。ここにしかないものがずらりと並んでいます。
フレッシュパニエのと,929-2241,七尾市中島町浜田1-83-1,12月～4月,9：00～16：00（ご予約に応じて夜営業する場合もあります）,(0767)66-1725,(0767)66-1725,火曜日,15,〇,新鮮な能登牡蠣と能登野菜を販売。能登牡蠣は炭火焼きコーナーにて食事可能。能登野菜は若手農業者グループの能登新鮮組が栽培した野菜を中心に、地元農家の育てたこだわり野菜を販売。その他にも能登名物の加工品も販売。
神子原農産物直売所（神子の里）,925-0608,羽咋市神子原町は190,通年,9:00～18:00（12～2月は17:00まで）,(0767)26-3580,(0767)26-3581,1～2月／木曜日,40,○,神子原米をはじめ、地元農家によって栽培された野菜類や山菜類、炭や民芸小物類などが並ぶ販売所です。
JAグリーンはくい,925-0025,羽咋市太田町と80（JAはくい本店横）,通年,9:00～18:30（10～2月は18:00まで）,(0767)26-8741,(0767)26-3300,年中無休　(年末年始、棚卸などの臨時休業有) ,20,○,「安心感」地域№１を目指し、種や苗の販売から始まり、肥料、農薬、資材などの農産物を生産するための資材はもちろん、地元の農家さんが作った野菜や果物、切花、お米、加工品などを販売しているＪＡならではの農業専門店。
道の駅のと千里浜,925-0054,羽咋市千里浜町タ1-62,通年,9:00～18:00（12～3月は17:00まで）,(0767)22-3891,(0767)22-3228,なし,166,○,能登を感じられる「いいもの」を揃えた直売所。羽咋市がJAはくいと取り組んでいる農薬や肥料、除草剤を使わず栽培した自然栽培農産物、その加工品、近隣で捕獲されたイノシシ（のとしし）の精肉や加工品を販売。
道の駅織姫の里なかのと　産直館　織姫市場,929-1721,鹿島郡中能登町井田ぬ部10-1,通年,8:45～18:30,(0767)76-8000,(0767)76-8001,"1～3月／第1,3木曜日
（年始除く）",99,○,生産者が丹精込めて作った新鮮野菜やお米。漁港から直送の鮮魚。中能登町で育てられた豚肉など地場の特産品が盛り沢山。新鮮・安全・安心に努め、地産地消・地域農業の振興に役立つお店を目指します！
道の駅「とぎ海街道」,925-0447,羽咋郡志賀町富来領家町タ2-11,通年,9:00～17:30（12～3月中旬は16:30まで）,(0767)42-0975,(0767)42-2481,年中無休,70,○,当道の駅、特産品コーナーでは、季節の地元特産品を軸に地域住民、観光客との交流、情報発信の機能施設として利用されています。
てんと市,925-0154,"羽咋郡志賀町末吉新保向10
(道の駅旬菜館前)","通年／第4火曜日、
12月第2火曜日（チャリティーてんと市）",8:30～11:00,(0767)37-1259,―,―,166,○,地域の特産を活かした「ここ志賀ない」加工品づくりのために、特産品の調査、加工講習会、試食会、食品衛生法の受講などを重ね、平成２年から青空市場、てんと市として直売活動を開始。現在は、道の駅「ころ柿の里」に隣接する農産物直売所「旬菜館」が平成16年にオープンし、その定休日を利用して「てんと市」を開催しています。
みちのえき 旬菜館,925-0154,羽咋郡志賀町末吉新保向10,通年,"平　 日：9:00～17:30
土日祝：9:00～18:30",(0767)32-4831,(0767)32-0038,火曜日、年末年始,168,○,旬菜館は道の駅「ころ柿の里　しか」にある農産物直売所で、志賀町産の朝採り野菜を主体に、海産物、民芸品等を販売しています。朝採れの野菜や農産物加工品の他、志賀町産コシヒカリの量り売りを行っています。直売所に隣接してアクアパーク　シ・オン　という温浴施設や足湯もあり、観光客や近隣住民の交流拠点としてにぎわっています。
志賀町生産物直売所,925-0122,羽咋郡志賀町倉垣子6-4,通年,"平　 日：9:00～19:00
土日祝：9:00～18:00",(0767)36-1238,(0767)36-1001,年中無休,"上り44
下り40",○,能登里山海道上棚I.Cと徳田大津I.Cの中間に位置し、素朴な売り場ながら志賀町地元の名産てんこ盛り！！能登の海産物や農産物が満載です。特に自社加工商品や能登ならではの珍しい商材も豊富に取り扱っております。
押水特産直売所,929-1341,羽咋郡宝達志水町宿26-43,通年,9:00～17:00,(0767)28-3998,―,木曜日（7～12月は無休）,30,×,地元特産の完熟した美味しい果物や朝取りの新鮮野菜、地元のお母さん達の昔ながらの美味しい漬物（粕漬）等に人気があります。季節にとれる山菜、キノコは人気が高いです。化学肥料を一切使っていないお米は評判です。
フリーマーケット常設店「よっていかんけ！」,928-0001,"輪島市河井町15-13-17
（輪島市シルバ‐人材センタ‐1階）",3～12月,8:30～11:30,(0768)23-8033,(0768)23-8281,日・祝日、年末年始,20,○,元気な会員さんが毎日とれたての野菜や花を販売しております。すべて会員さんの手によるもので輪島産です。会員さんが自宅で使うものと同じものを売っています。コミュニケ‐ションの場になっています。
曽々木地物市,928-0206,"輪島市町野町曽々木サ45－1
（曽々木観光協会前）",通年／日曜日,7:00～8:30,(0768)32-0314(事務局),(0768)32-0314,平日、土曜,20,○,各自で栽培したものを朝取りした新鮮な品の販売が自慢です。また、地元農産物を使った加工品の味付け、うまさに定評があります。販売は生産者が直接しているので、和気あいあいの雰囲気にあります。
能登國輪島地物市,928-0001,"輪島市河井町20-1
（道の駅 輪島ふらっと訪夢 内）","通年／第2・第4水曜日
（土日祝にも不定期開催）",7:30～11:30,(0768)32-0404,(0768)32-1050,―,輪島朝市駐車場利用,○,朝市定休日に運営しています。物産販売、加工品も地物を使用しています。開催日は第2・第4水曜日です。（土・日・祝祭日にも不定期で開催します。）
輪島朝市,928-0001,輪島市河井町本町通り,通年,8:00～12:00,(0768)22-7653,(0768)22-7653,"第2・第4水曜日
1月1日～3日",500,○,―
かわらだ地物市場,928-0025,輪島市東中尾町(河原田保育所向かい）,4月～11月,7:00～9:00,(0768)22-6637,―,―,10,○,地元でとれた新鮮野菜、山菜が沢山あるのが自慢です。安いのでほとんど売り切り、とても楽しい市場です。近くに来られた時、一度寄ってください。お待ちしています。
道の駅　赤神,927-2345,輪島市門前町赤神壱110,通年,"9:00～17:00
(季節によって若干変更あり)",(0768)45-1001,(0768)45-1001,"火曜日
(祝日の場合翌日)",37,○,直売所では、「のと１１５乾燥しいたけ」「いしる」「あごだし」等の販売をしている。また、レストラン部内では、「輪島ふぐ」を使用したからあげや地元こしひかりを使用したごはんを提供している。
Ａコープもんぜん　産直コーナー,927-2171,輪島市門前町本市12-117-1,通年,9:30～19:00,(0768)42-1000,(0768)42-1896,不定休,30,○,―
まいわぁー直売所,929-2372,輪島市三井町洲衛（フェミリーマート向かい）,6～11月（土曜日、日曜日）,8:00～12:00（売切れ次第終了）,―,(0768)26-1353,―,8,×,山菜とり、きのことり、野菜づくりをしながら育菜談話をし、絆の輪を広げている女性の会です。ばぁばから伝授されている「ごっつぉ」（調理法）を伝授します。売り切れゴメン！
村の地物市,928-0007,輪島市深見町大谷内(おおや)地内（国道249号線沿い）,3～12月,9:00～12:00,―,―,土曜、日曜,10,○,国道249号線の輪島市街地から曽々木へ向かう街道沿いに位置しています。店前の木かげからきれいな海が見え、見晴らしが良いと七ツ島まで観望できます。
JAグリーン能登おおぞら村　輪島,928-0001,輪島市河井町23-1-42,通年,9:00～18:00,(0768)23-4500,(0768)23-1206,年中無休,30,○,能登おおぞら村輪島では、組合委員の皆様が丹精込めて育てた能登の採れたて新鮮な野菜を手軽に販売場所を提供しております。旬の野菜など取り揃えておりますので、お気軽にお立ち寄り下さい。
寄り道パーキング　金蔵,928-0236,輪島市町野町金蔵ワ72-1,4月～10月,9:00～12:00,―,―,年中無休,12,○,村のばあちゃんたちが作った野菜、お母さんたちが作るオリジナルケーキ、ちゃぷりんを販売する直売所です。
道の駅　千枚田ポケットパーク,928-0256,輪島市白米町八99-5,通年,"8:30～17:30
あぜのきらめき期間のみ～20:00",(0768)34-1004,(0768)34-1004,年中無休,53,○,地域資源を活用したコミュニティーレストランでは、おにぎり中心のメニューが人気です。売店のほとんどが輪島産です。
里山まるごとホテル　お食事処茅葺庵,929-2378,輪島市三井町小泉漆原14-2,通年,9:30～17:00,(0768)26-1181,(0768)23-1141,水曜日,20,○,築170年の古民家をリノベーションしたお食事処です。お店の入り口の土間を直売スペースにして、地元で採れた新鮮なお野菜をはじめ、お米、お漬物、能登産の天然調味料、手芸品などを販売しています。また、お食事処では地元産のお野菜をたっぷり使ったランチも楽しめます。
